Opponent,GF,GA,Outcome
Vegas Golden Knights,5,4,W
Dallas Stars,3,4,L
St. Louis Blues,4,1,W
Ottawa Senators,6,3,W
Los Angeles Kings,3,1,W
Toronto Maple Leafs,5,3,W
Columbus Blue Jackets,5,2,W
Carolina Hurricanes,6,1,W
Florida Panthers,5,6,L
New Jersey Devils,2,3,L
Boston Bruins,4,8,L
New York Islanders,3,2,W
Calgary Flames,4,3,W
Philadelphia Flyers,5,2,W
Toronto Maple Leafs,2,5,L
Dallas Stars,3,1,W
New York Rangers,3,4,L
Montreal Canadiens,5,3,W
New York Islanders,1,4,L
Montreal Canadiens,5,3,W
New Jersey Devils,3,4,L
Philadelphia Flyers,5,4,W
Detroit Red Wings,2,5,L
New Jersey Devils,4,3,W
Montreal Canadiens,5,2,W
Washington Capitals,1,3,L
Columbus Blue Jackets,5,4,W
Ottawa Senators,4,0,W
Washington Capitals,7,6,W
Montreal Canadiens,1,5,L
Vegas Golden Knights,4,2,W
Montreal Canadiens,3,4,L
Vancouver Canucks,2,3,L
Toronto Maple Leafs,3,0,W
Edmonton Oilers,6,5,W
Calgary Flames,9,1,W
Vancouver Canucks,5,0,W
New York Islanders,3,6,L
New York Islanders,2,3,L
Toronto Maple Leafs,0,5,L
New Jersey Devils,1,5,L
Washington Capitals,1,2,L
Arizona Coyotes,4,0,W
New Jersey Devils,2,4,L
Tampa Bay Lightning,3,4,L
Ottawa Senators,4,6,L
Buffalo Sabres,4,5,L
Dallas Stars,5,1,W
Boston Bruins,1,2,L
Columbus Blue Jackets,4,2,W
Winnipeg Jets,4,3,W
Colorado Avalanche,3,6,L
Philadelphia Flyers,2,4,L
Colorado Avalanche,6,3,W
New York Islanders,6,2,W
Ottawa Senators,1,2,L
New York Islanders,2,1,W
Chicago Blackhawks,3,6,L
Boston Bruins,5,3,W
Los Angeles Kings,4,3,W
Anaheim Ducks,2,4,L
Washington Capitals,2,1,W
Minnesota Wild,2,1,W
Carolina Hurricanes,3,0,W
Detroit Red Wings,5,2,W
St. Louis Blues,6,1,W
Minnesota Wild,3,2,W
New York Rangers,7,2,W
Winnipeg Jets,4,0,W
Chicago Blackhawks,3,5,L
Florida Panthers,5,1,W
Anaheim Ducks,7,4,W
Los Angeles Kings,2,5,L
San Jose Sharks,2,5,L
Arizona Coyotes,3,2,W
Vegas Golden Knights,3,7,L
New Jersey Devils,3,6,L
Tampa Bay Lightning,4,2,W
Ottawa Senators,5,3,W
Toronto Maple Leafs,2,3,L
Carolina Hurricanes,0,4,L
Florida Panthers,2,3,L
Tampa Bay Lightning,4,5,L
Philadelphia Flyers,4,1,W
Edmonton Oilers,3,1,W
Calgary Flames,4,5,L
New York Rangers,6,5,W
New Jersey Devils,4,3,W
San Jose Sharks,0,4,L
Philadelphia Flyers,3,4,L
Columbus Blue Jackets,5,2,W
Buffalo Sabres,3,4,L
Montreal Canadiens,5,1,W
Florida Panthers,3,2,W
Columbus Blue Jackets,3,0,W
Columbus Blue Jackets,1,4,L
Boston Bruins,4,2,W
Washington Capitals,5,3,W
Buffalo Sabres,5,0,W
St. Louis Blues,1,5,L
Philadelphia Flyers,1,2,L
Carolina Hurricanes,2,3,L
Nashville Predators,2,1,W
Dallas Stars,3,2,W
New York Rangers,5,2,W
Nashville Predators,1,3,L
Carolina Hurricanes,3,1,W
Detroit Red Wings,1,4,L
Detroit Red Wings,4,1,W
New York Rangers,3,4,L
Buffalo Sabres,1,3,L
Columbus Blue Jackets,7,2,W
Winnipeg Jets,1,4,L
Anaheim Ducks,2,1,W
Minnesota Wild,7,4,W
Winnipeg Jets,7,2,W
Colorado Avalanche,3,2,W
Dallas Stars,4,2,W
Vegas Golden Knights,0,3,L
Florida Panthers,2,4,L
Tampa Bay Lightning,2,3,L
Dallas Stars,3,0,W
Philadelphia Flyers,7,1,W
Edmonton Oilers,1,2,L
Boston Bruins,4,6,L
New York Islanders,4,3,W
Chicago Blackhawks,3,2,W
New York Rangers,2,3,L
New Jersey Devils,1,2,L
Toronto Maple Leafs,6,1,W
New York Islanders,4,5,L
New York Islanders,3,4,L
New Jersey Devils,4,1,W
Calgary Flames,3,2,W
Vancouver Canucks,8,6,W
Columbus Blue Jackets,2,5,L
St. Louis Blues,2,5,L
St. Louis Blues,3,0,W
Arizona Coyotes,2,0,W
Detroit Red Wings,5,3,W
Montreal Canadiens,1,4,L
Columbus Blue Jackets,1,0,W
Los Angeles Kings,5,4,W
Calgary Flames,4,1,W
Edmonton Oilers,5,2,W
Vancouver Canucks,1,4,L
Nashville Predators,5,2,W
Nashville Predators,6,4,W
Ottawa Senators,5,2,W
San Jose Sharks,2,3,L
Montreal Canadiens,3,2,W
Florida Panthers,1,4,L
Vegas Golden Knights,4,3,W
Colorado Avalanche,4,3,W
Arizona Coyotes,4,3,W
