GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak
45,2015-01-20,@,Philadelphia Flyers,2,3,L,OT,26,12,7,L 3
46,2015-01-21,,Chicago Blackhawks,2,3,L,SO,26,12,8,L 4
47,2015-01-27,,Winnipeg Jets,5,3,W,,27,12,8,W 1
48,2015-01-28,@,Washington Capitals,0,4,L,,27,13,8,L 1
49,2015-01-30,@,New Jersey Devils,2,1,W,OT,28,13,8,W 1
50,2015-02-01,,Nashville Predators,0,4,L,,28,14,8,L 1
51,2015-02-04,@,Edmonton Oilers,2,0,W,,29,14,8,W 1
52,2015-02-06,@,Calgary Flames,4,0,W,,30,14,8,W 2
53,2015-02-07,@,Vancouver Canucks,0,5,L,,30,15,8,L 1
54,2015-02-11,,Detroit Red Wings,4,1,W,,31,15,8,W 1
55,2015-02-12,@,Ottawa Senators,5,4,W,SO,32,15,8,W 2
56,2015-02-15,@,Chicago Blackhawks,1,2,L,SO,32,15,9,L 1
57,2015-02-17,,Washington Capitals,1,3,L,,32,16,9,L 2
58,2015-02-19,,Columbus Blue Jackets,1,2,L,,32,17,9,L 3
59,2015-02-21,@,St. Louis Blues,4,2,W,,33,17,9,W 1
60,2015-02-22,,Florida Panthers,5,1,W,,34,17,9,W 2
61,2015-02-25,@,Washington Capitals,4,3,W,,35,17,9,W 3
62,2015-03-01,,Columbus Blue Jackets,5,3,W,,36,17,9,W 4
63,2015-03-04,@,Colorado Avalanche,1,3,L,,36,18,9,L 1
64,2015-03-06,@,Anaheim Ducks,5,2,W,,37,18,9,W 1
65,2015-03-07,@,Los Angeles Kings,1,0,W,OT,38,18,9,W 2
66,2015-03-09,@,San Jose Sharks,1,2,L,SO,38,18,10,L 1
67,2015-03-12,,Edmonton Oilers,6,4,W,,39,18,10,W 1
68,2015-03-14,,Boston Bruins,0,2,L,,39,19,10,L 1
69,2015-03-15,,Detroit Red Wings,1,5,L,,39,20,10,L 2
70,2015-03-17,@,New Jersey Devils,0,2,L,,39,21,10,L 3
71,2015-03-19,@,Dallas Stars,1,2,L,,39,22,10,L 4
72,2015-03-21,@,Arizona Coyotes,3,1,W,,40,22,10,W 1
73,2015-03-24,,St. Louis Blues,2,3,L,OT,40,22,11,L 1
74,2015-03-26,@,Carolina Hurricanes,2,5,L,,40,23,11,L 2
75,2015-03-28,,Arizona Coyotes,3,2,W,,41,23,11,W 1
76,2015-03-29,,San Jose Sharks,3,2,W,SO,42,23,11,W 2
77,2015-04-01,,Philadelphia Flyers,1,4,L,,42,24,11,L 1
78,2015-04-04,@,Columbus Blue Jackets,3,5,L,,42,25,11,L 2
79,2015-04-05,@,Philadelphia Flyers,1,4,L,,42,26,11,L 3
80,2015-04-07,@,Ottawa Senators,3,4,L,OT,42,26,12,L 4
81,2015-04-10,,New York Islanders,1,3,L,,42,27,12,L 5
82,2015-04-11,@,Buffalo Sabres,2,0,W,,43,27,12,W 1
1,2015-10-08,@,Dallas Stars,0,3,L,,0,1,0,L 1,18532,2:41,
2,2015-10-10,@,Arizona Coyotes,1,2,L,,0,2,0,L 2,17125,2:30,
3,2015-10-13,,Montreal Canadiens,2,3,L,,0,3,0,L 3,18626,2:23,
4,2015-10-15,,Ottawa Senators,2,0,W,,1,3,0,W 1,18486,2:29,
5,2015-10-17,,Toronto Maple Leafs,2,1,W,,2,3,0,W 2,18650,2:30,
6,2015-10-20,,Florida Panthers,3,2,W,OT,3,3,0,W 3,18471,2:45,
7,2015-10-22,,Dallas Stars,1,4,L,,3,4,0,L 1,18490,2:32,
8,2015-10-24,@,Nashville Predators,2,1,W,OT,4,4,0,W 1,17163,2:29,
9,2015-10-28,@,Washington Capitals,3,1,W,,5,4,0,W 2,18506,2:27,
10,2015-10-29,,Buffalo Sabres,4,3,W,,6,4,0,W 3,18415,2:28,
11,2015-10-31,@,Toronto Maple Leafs,4,0,W,,7,4,0,W 4,19197,2:30,
12,2015-11-04,@,Vancouver Canucks,3,2,W,,8,4,0,W 5,18570,2:31,
13,2015-11-06,@,Edmonton Oilers,2,1,W,,9,4,0,W 6,16839,2:33,
14,2015-11-07,@,Calgary Flames,2,5,L,,9,5,0,L 1,19289,2:31,
15,2015-11-11,,Montreal Canadiens,4,3,W,SO,10,5,0,W 1,18455,2:44,
16,2015-11-13,,Columbus Blue Jackets,1,2,L,,10,6,0,L 1,18610,2:40,
17,2015-11-14,@,New Jersey Devils,0,4,L,,10,7,0,L 2,16514,2:29,
18,2015-11-17,,Minnesota Wild,4,3,W,,11,7,0,W 1,18495,2:43,
19,2015-11-19,,Colorado Avalanche,4,3,W,,12,7,0,W 2,18430,2:29,
20,2015-11-21,,San Jose Sharks,1,3,L,,12,8,0,L 1,18534,2:29,
21,2015-11-25,,St. Louis Blues,4,3,W,OT,13,8,0,W 1,18569,2:26,
22,2015-11-27,@,Columbus Blue Jackets,1,2,L,OT,13,8,1,L 1,18205,2:43,
23,2015-11-28,,Edmonton Oilers,2,3,L,SO,13,8,2,L 2,18656,2:45,
24,2015-12-01,@,San Jose Sharks,5,1,W,,14,8,2,W 1,16624,2:27,
25,2015-12-05,@,Los Angeles Kings,3,5,L,,14,9,2,L 1,18230,2:28,
26,2015-12-06,@,Anaheim Ducks,1,2,L,,14,10,2,L 2,15836,2:29,
27,2015-12-09,@,Colorado Avalanche,4,2,W,,15,10,2,W 1,15838,2:29,
28,2015-12-11,,Los Angeles Kings,2,3,L,SO,15,10,3,L 1,18489,2:51,
29,2015-12-14,,Washington Capitals,1,4,L,,15,11,3,L 2,18520,2:36,
30,2015-12-16,@,Boston Bruins,0,3,L,,15,12,3,L 3,17565,2:34,
31,2015-12-18,,Boston Bruins,2,6,L,,15,13,3,L 4,18585,2:34,
32,2015-12-19,,Carolina Hurricanes,1,2,L,,15,14,3,L 5,18590,2:17,
33,2015-12-21,,Columbus Blue Jackets,5,2,W,,16,14,3,W 1,18602,2:35,
34,2015-12-26,@,Minnesota Wild,3,1,W,,17,14,3,W 2,19234,2:30,
35,2015-12-27,@,Winnipeg Jets,0,1,L,,17,15,3,L 1,15294,2:20,
36,2015-12-30,,Toronto Maple Leafs,2,3,L,SO,17,15,4,L 2,18662,2:47,
37,2015-12-31,@,Detroit Red Wings,5,2,W,,18,15,4,W 1,20027,2:38,
38,2016-01-02,,New York Islanders,5,2,W,,19,15,4,W 2,18665,2:28,
39,2016-01-05,,Chicago Blackhawks,2,3,L,OT,19,15,5,L 1,18658,2:28,
40,2016-01-06,@,Chicago Blackhawks,1,3,L,,19,16,5,L 2,21908,2:27,
41,2016-01-09,@,Montreal Canadiens,3,1,W,,20,16,5,W 1,21288,2:34,
42,2016-01-12,@,Carolina Hurricanes,2,3,L,OT,20,16,6,L 1,13012,2:21,
43,2016-01-15,@,Tampa Bay Lightning,4,5,L,OT,20,16,7,L 2,19092,2:42,
44,2016-01-17,,Carolina Hurricanes,5,0,W,,21,16,7,W 1,18528,2:28,
45,2016-01-18,@,St. Louis Blues,2,5,L,,21,17,7,L 1,19312,2:30,
46,2016-01-21,,Philadelphia Flyers,4,3,W,,22,17,7,W 1,18652,2:39,
47,2016-01-23,,Vancouver Canucks,5,4,W,,23,17,7,W 2,18539,2:18,
48,2016-01-26,,New Jersey Devils,2,0,W,,24,17,7,W 3,18442,2:28,
49,2016-02-02,,Ottawa Senators,6,5,W,,25,17,7,W 4,18420,2:41,
50,2016-02-05,@,Tampa Bay Lightning,3,6,L,,25,18,7,L 1,19092,2:38,
51,2016-02-06,@,Florida Panthers,3,2,W,OT,26,18,7,W 1,20295,2:38,
52,2016-02-08,,Anaheim Ducks,6,2,W,,27,18,7,W 2,18418,2:34,
53,2016-02-10,,New York Rangers,0,3,L,,27,19,7,L 1,18539,2:21,
54,2016-02-12,@,Carolina Hurricanes,2,1,W,SO,28,19,7,W 1,15783,2:32,
55,2016-02-15,@,Florida Panthers,1,2,L,SO,28,19,8,L 1,15595,2:45,
56,2016-02-18,,Detroit Red Wings,6,3,W,,29,19,8,W 1,18584,2:30,
57,2016-02-20,,Tampa Bay Lightning,2,4,L,,29,20,8,L 1,18643,2:34,
58,2016-02-21,@,Buffalo Sabres,4,3,W,,30,20,8,W 1,19070,2:36,
59,2016-02-24,@,Boston Bruins,1,5,L,,30,21,8,L 1,17565,2:26,
60,2016-02-27,,Winnipeg Jets,4,1,W,,31,21,8,W 1,18650,2:23,
61,2016-02-29,,Arizona Coyotes,6,0,W,,32,21,8,W 2,18435,2:29,
62,2016-03-01,@,Washington Capitals,2,3,L,,32,22,8,L 1,18506,2:30,
63,2016-03-03,,New York Rangers,4,1,W,,33,22,8,W 1,18492,2:22,
64,2016-03-05,,Calgary Flames,2,4,L,,33,23,8,L 1,18663,2:26,
65,2016-03-06,@,New Jersey Devils,6,1,W,,34,23,8,W 1,15856,2:27,
66,2016-03-08,@,New York Islanders,1,2,L,,34,24,8,L 1,14724,2:34,
67,2016-03-11,@,Columbus Blue Jackets,3,2,W,,35,24,8,W 1,18205,2:31,
68,2016-03-13,@,New York Rangers,5,3,W,,36,24,8,W 2,18006,2:25,
69,2016-03-15,,New York Islanders,2,1,W,SO,37,24,8,W 3,18456,2:41,
70,2016-03-17,,Carolina Hurricanes,4,2,W,,38,24,8,W 4,18455,2:31,
71,2016-03-19,@,Philadelphia Flyers,4,1,W,,39,24,8,W 5,19967,2:39,
72,2016-03-20,,Washington Capitals,6,2,W,,40,24,8,W 6,18656,2:41,
73,2016-03-24,,New Jersey Devils,0,3,L,,40,25,8,L 1,18610,2:21,
74,2016-03-26,@,Detroit Red Wings,7,2,W,,41,25,8,W 1,20027,2:36,
75,2016-03-27,@,New York Rangers,3,2,W,OT,42,25,8,W 2,18006,2:42,
76,2016-03-29,,Buffalo Sabres,5,4,W,SO,43,25,8,W 3,18513,2:48,
77,2016-03-31,,Nashville Predators,5,2,W,,44,25,8,W 4,18560,2:26,
78,2016-04-02,@,New York Islanders,5,0,W,,45,25,8,W 5,15795,2:36,
79,2016-04-03,,Philadelphia Flyers,6,2,W,,46,25,8,W 6,18673,2:37,
80,2016-04-05,@,Ottawa Senators,5,3,W,,47,25,8,W 7,19284,2:28,
81,2016-04-07,@,Washington Capitals,4,3,W,OT,48,25,8,W 8,18506,2:37,
82,2016-04-09,@,Philadelphia Flyers,1,3,L,,48,26,8,L 1,19919,2:35,
1,2016-10-13,,Washington Capitals,3,2,W,SO,1,0,0,W 1,18630,2:50,
2,2016-10-15,,Anaheim Ducks,3,2,W,,2,0,0,W 2,18452,2:38,
3,2016-10-17,,Colorado Avalanche,3,4,L,OT,2,0,1,L 1,18431,2:41,
4,2016-10-18,@,Montreal Canadiens,0,4,L,,2,1,1,L 2,21288,2:47,
5,2016-10-20,,San Jose Sharks,3,2,W,,3,1,1,W 1,18511,2:31,
6,2016-10-22,@,Nashville Predators,1,5,L,,3,2,1,L 1,17113,2:31,
7,2016-10-25,,Florida Panthers,3,2,W,,4,2,1,W 1,18434,2:20,
8,2016-10-27,,New York Islanders,4,2,W,,5,2,1,W 2,18422,2:35,
9,2016-10-29,@,Philadelphia Flyers,5,4,W,,6,2,1,W 3,19927,2:41,
10,2016-11-02,@,Anaheim Ducks,5,1,W,,7,2,1,W 4,15543,2:33,
11,2016-11-03,@,Los Angeles Kings,2,3,L,OT,7,2,2,L 1,18230,2:38,
12,2016-11-05,@,San Jose Sharks,5,0,W,,8,2,2,W 1,17562,2:29,
13,2016-11-08,,Edmonton Oilers,4,3,W,,9,2,2,W 2,18576,2:26,
14,2016-11-10,,Minnesota Wild,2,4,L,,9,3,2,L 1,18458,2:34,
15,2016-11-12,,Toronto Maple Leafs,4,1,W,,10,3,2,W 1,18668,2:23,
16,2016-11-16,@,Washington Capitals,1,7,L,,10,4,2,L 1,18506,2:45,
17,2016-11-18,@,New York Islanders,3,2,W,OT,11,4,2,W 1,13365,2:28,
18,2016-11-19,@,Buffalo Sabres,1,2,L,SO,11,4,3,L 1,18817,2:49,
19,2016-11-21,,New York Rangers,2,5,L,,11,5,3,L 2,18632,2:24,
20,2016-11-23,@,New York Rangers,6,1,W,,12,5,3,W 1,18006,2:25,
21,2016-11-25,@,Minnesota Wild,2,6,L,,12,6,3,L 1,19212,2:24,
22,2016-11-26,,New Jersey Devils,4,3,W,SO,13,6,3,W 1,18615,2:56,
23,2016-11-30,@,New York Islanders,3,5,L,,13,7,3,L 1,12149,2:40,
24,2016-12-01,,Dallas Stars,6,2,W,,14,7,3,W 1,18420,2:26,
25,2016-12-03,,Detroit Red Wings,5,3,W,,15,7,3,W 2,18661,2:26,
26,2016-12-05,,Ottawa Senators,8,5,W,,16,7,3,W 3,18414,2:45,
27,2016-12-08,@,Florida Panthers,5,1,W,,17,7,3,W 4,14068,2:27,
28,2016-12-10,@,Tampa Bay Lightning,4,3,W,,18,7,3,W 5,19092,2:41,
29,2016-12-12,,Arizona Coyotes,7,0,W,,19,7,3,W 6,18420,2:28,
30,2016-12-14,,Boston Bruins,4,3,W,OT,20,7,3,W 7,18415,2:38,
31,2016-12-16,,Los Angeles Kings,0,1,L,OT,20,7,4,L 1,18544,2:28,
32,2016-12-17,@,Toronto Maple Leafs,1,2,L,OT,20,7,5,L 2,19553,2:35,
33,2016-12-20,,New York Rangers,7,2,W,,21,7,5,W 1,18541,2:24,
34,2016-12-22,@,Columbus Blue Jackets,1,7,L,,21,8,5,L 1,19115,2:36,
35,2016-12-23,,New Jersey Devils,4,1,W,,22,8,5,W 1,18625,2:33,
36,2016-12-27,@,New Jersey Devils,5,2,W,,23,8,5,W 2,16514,2:37,
37,2016-12-28,,Carolina Hurricanes,3,2,W,,24,8,5,W 3,18653,2:28,
38,2016-12-31,,Montreal Canadiens,4,3,W,OT,25,8,5,W 4,18633,2:40,
39,2017-01-08,,Tampa Bay Lightning,6,2,W,,26,8,5,W 5,18633,2:29,
40,2017-01-11,@,Washington Capitals,2,5,L,,26,9,5,L 1,18506,2:43,
41,2017-01-12,@,Ottawa Senators,1,4,L,,26,10,5,L 2,17769,2:31,
42,2017-01-14,@,Detroit Red Wings,3,6,L,,26,11,5,L 3,20027,2:34,
43,2017-01-16,,Washington Capitals,8,7,W,OT,27,11,5,W 1,18653,2:46,
44,2017-01-18,@,Montreal Canadiens,4,1,W,,28,11,5,W 2,21288,2:28,
45,2017-01-20,@,Carolina Hurricanes,7,1,W,,29,11,5,W 3,17312,2:35,
46,2017-01-22,,Boston Bruins,5,1,W,,30,11,5,W 4,18506,2:42,
47,2017-01-24,,St. Louis Blues,0,3,L,,30,12,5,L 1,18563,2:31,
48,2017-01-26,@,Boston Bruins,3,4,L,,30,13,5,L 2,17565,2:44,
49,2017-01-31,,Nashville Predators,4,2,W,,31,13,5,W 1,18455,2:36,
50,2017-02-03,,Columbus Blue Jackets,4,3,W,OT,32,13,5,W 2,18649,2:31,
51,2017-02-04,@,St. Louis Blues,4,1,W,,33,13,5,W 3,19496,2:29,
52,2017-02-07,,Calgary Flames,2,3,L,SO,33,13,6,L 1,18556,2:40,
53,2017-02-09,@,Colorado Avalanche,4,1,W,,34,13,6,W 1,16777,2:24,
54,2017-02-11,@,Arizona Coyotes,3,4,L,OT,34,13,7,L 1,15879,2:43,
55,2017-02-14,,Vancouver Canucks,4,0,W,,35,13,7,W 1,18653,2:26,
56,2017-02-16,,Winnipeg Jets,4,3,W,OT,36,13,7,W 2,18638,2:42,
57,2017-02-17,@,Columbus Blue Jackets,1,2,L,OT,36,13,8,L 1,19188,2:36,
58,2017-02-19,,Detroit Red Wings,2,5,L,,36,14,8,L 2,18664,2:34,
59,2017-02-21,@,Carolina Hurricanes,3,1,W,,37,14,8,W 1,12145,2:26,
60,2017-02-25,,Philadelphia Flyers,4,2,W,,38,14,8,W 2,67318,2:39,at Heinz Field (Pittsburgh PA)
61,2017-02-28,@,Dallas Stars,2,3,L,,38,15,8,L 1,18235,2:28,
62,2017-03-01,@,Chicago Blackhawks,1,4,L,,38,16,8,L 2,22012,2:22,
63,2017-03-03,,Tampa Bay Lightning,5,2,W,,39,16,8,W 1,18640,2:24,
64,2017-03-05,,Buffalo Sabres,4,3,W,,40,16,8,W 2,18653,2:43,
65,2017-03-08,@,Winnipeg Jets,7,4,W,,41,16,8,W 3,15294,2:45,
66,2017-03-10,@,Edmonton Oilers,3,2,W,SO,42,16,8,W 4,18347,2:32,
67,2017-03-11,@,Vancouver Canucks,3,0,W,,43,16,8,W 5,18865,2:27,
68,2017-03-13,@,Calgary Flames,3,4,L,SO,43,16,9,L 1,19289,2:45,
69,2017-03-15,@,Philadelphia Flyers,0,4,L,,43,17,9,L 2,19514,2:23,
70,2017-03-17,,New Jersey Devils,6,4,W,,44,17,9,W 1,18651,2:41,
71,2017-03-19,,Florida Panthers,4,0,W,,45,17,9,W 2,18653,2:29,
72,2017-03-21,@,Buffalo Sabres,3,1,W,,46,17,9,W 3,18313,2:30,
73,2017-03-23,@,Ottawa Senators,1,2,L,SO,46,17,10,L 1,18102,2:49,
74,2017-03-24,,New York Islanders,3,4,L,SO,46,17,11,L 2,18659,2:45,
75,2017-03-26,,Philadelphia Flyers,2,6,L,,46,18,11,L 3,18654,2:29,
76,2017-03-29,,Chicago Blackhawks,1,5,L,,46,19,11,L 4,18657,2:28,
77,2017-03-31,@,New York Rangers,4,3,W,SO,47,19,11,W 1,18006,2:44,
78,2017-04-02,,Carolina Hurricanes,3,2,W,,48,19,11,W 2,18631,2:25,
79,2017-04-04,,Columbus Blue Jackets,4,1,W,,49,19,11,W 3,18632,2:23,
80,2017-04-06,@,New Jersey Devils,7,4,W,,50,19,11,W 4,14012,2:30,
81,2017-04-08,@,Toronto Maple Leafs,3,5,L,,50,20,11,L 1,19561,2:32,
82,2017-04-09,@,New York Rangers,2,3,L,,50,21,11,L 2,18006,2:29,
1,2017-10-04,,St. Louis Blues,4,5,L,OT,0,0,1,L 1,18652,2:38,
2,2017-10-05,@,Chicago Blackhawks,1,10,L,,0,1,1,L 2,21705,2:35,
3,2017-10-07,,Nashville Predators,4,0,W,,1,1,1,W 1,18645,2:38,
4,2017-10-11,@,Washington Capitals,3,2,W,,2,1,1,W 2,18506,2:34,
5,2017-10-12,@,Tampa Bay Lightning,4,5,L,,2,2,1,L 1,19092,2:42,
6,2017-10-14,,Florida Panthers,4,3,W,,3,2,1,W 1,18582,2:37,
7,2017-10-17,@,New York Rangers,5,4,W,OT,4,2,1,W 2,18006,2:36,
8,2017-10-20,@,Florida Panthers,4,3,W,,5,2,1,W 3,15756,2:41,
9,2017-10-21,@,Tampa Bay Lightning,1,7,L,,5,3,1,L 1,19092,2:36,
10,2017-10-24,,Edmonton Oilers,2,1,W,OT,6,3,1,W 1,18625,2:27,
11,2017-10-26,,Winnipeg Jets,2,1,W,OT,7,3,1,W 2,18445,2:34,
12,2017-10-28,@,Minnesota Wild,1,2,L,,7,4,1,L 1,19064,2:25,
13,2017-10-29,@,Winnipeg Jets,1,7,L,,7,5,1,L 2,15321,2:31,
14,2017-11-01,@,Edmonton Oilers,3,2,W,,8,5,1,W 1,18347,2:35,
15,2017-11-02,@,Calgary Flames,1,2,L,OT,8,5,2,L 1,18837,2:32,
16,2017-11-04,@,Vancouver Canucks,2,4,L,,8,6,2,L 2,18865,2:35,
17,2017-11-07,,Arizona Coyotes,3,1,W,,9,6,2,W 1,18498,2:30,
18,2017-11-10,@,Washington Capitals,1,4,L,,9,7,2,L 1,18506,2:33,
19,2017-11-11,@,Nashville Predators,4,5,L,SO,9,7,3,L 2,17397,2:49,
20,2017-11-14,,Buffalo Sabres,5,4,W,OT,10,7,3,W 1,18438,2:39,
21,2017-11-16,@,Ottawa Senators,3,1,W,,11,7,3,W 2,17144,2:28,
22,2017-11-18,,Chicago Blackhawks,1,2,L,,11,8,3,L 1,18638,2:36,
23,2017-11-22,,Vancouver Canucks,2,5,L,,11,9,3,L 2,18606,2:29,
24,2017-11-24,@,Boston Bruins,3,4,L,,11,10,3,L 3,17565,2:34,
25,2017-11-25,,Tampa Bay Lightning,5,2,W,,12,10,3,W 1,18659,2:34,
26,2017-11-27,,Philadelphia Flyers,5,4,W,OT,13,10,3,W 2,18505,2:45,
27,2017-12-01,@,Buffalo Sabres,4,0,W,,14,10,3,W 3,19070,2:26,
28,2017-12-02,,Buffalo Sabres,5,1,W,,15,10,3,W 4,18582,2:31,
29,2017-12-05,,New York Rangers,3,4,L,,15,11,3,L 1,18414,2:25,
30,2017-12-07,,New York Islanders,4,3,W,OT,16,11,3,W 1,18433,2:32,
31,2017-12-09,,Toronto Maple Leafs,3,4,L,,16,12,3,L 1,18658,2:26,
32,2017-12-11,,Colorado Avalanche,1,2,L,,16,13,3,L 2,18411,2:29,
33,2017-12-14,@,Vegas Golden Knights,1,2,L,,16,14,3,L 3,18029,2:27,
34,2017-12-16,@,Arizona Coyotes,4,2,W,,17,14,3,W 1,13051,2:26,
35,2017-12-18,@,Colorado Avalanche,2,4,L,,17,15,3,L 1,15824,2:24,
36,2017-12-21,,Columbus Blue Jackets,3,2,W,SO,18,15,3,W 1,18625,2:53,
37,2017-12-23,,Anaheim Ducks,0,4,L,,18,16,3,L 1,18622,2:25,
38,2017-12-27,,Columbus Blue Jackets,5,4,W,SO,19,16,3,W 1,18652,2:46,
39,2017-12-29,@,Carolina Hurricanes,1,2,L,,19,17,3,L 1,17975,2:30,
40,2017-12-31,@,Detroit Red Wings,1,4,L,,19,18,3,L 2,19515,2:36,at Little Caesars Arena (Detroit MI)
41,2018-01-02,@,Philadelphia Flyers,5,1,W,,20,18,3,W 1,19558,2:29,
42,2018-01-04,,Carolina Hurricanes,0,4,L,,20,19,3,L 1,18595,2:19,
43,2018-01-05,@,New York Islanders,4,0,W,,21,19,3,W 1,13641,2:37,
44,2018-01-07,,Boston Bruins,6,5,W,OT,22,19,3,W 2,18553,2:36,
45,2018-01-13,,Detroit Red Wings,4,1,W,,23,19,3,W 3,18637,2:26,
46,2018-01-14,,New York Rangers,5,2,W,,24,19,3,W 4,18647,2:31,
47,2018-01-17,@,Anaheim Ducks,3,5,L,,24,20,3,L 1,17291,2:35,
48,2018-01-18,@,Los Angeles Kings,3,1,W,,25,20,3,W 1,18230,2:29,
49,2018-01-20,@,San Jose Sharks,1,2,L,,25,21,3,L 1,17562,2:25,
50,2018-01-23,,Carolina Hurricanes,3,1,W,,26,21,3,W 1,18421,2:30,
51,2018-01-25,,Minnesota Wild,6,3,W,,27,21,3,W 2,18453,2:29,
52,2018-01-30,,San Jose Sharks,5,2,W,,28,21,3,W 3,18469,2:35,
53,2018-02-02,,Washington Capitals,7,4,W,,29,21,3,W 4,18652,2:32,
54,2018-02-03,@,New Jersey Devils,1,3,L,,29,22,3,L 1,16514,2:29,
55,2018-02-06,,Vegas Golden Knights,5,4,W,,30,22,3,W 1,18644,2:32,
56,2018-02-09,@,Dallas Stars,3,4,L,SO,30,22,4,L 1,18532,2:43,
57,2018-02-11,@,St. Louis Blues,4,1,W,,31,22,4,W 1,18975,2:33,
58,2018-02-13,,Ottawa Senators,6,3,W,,32,22,4,W 2,18448,2:35,
59,2018-02-15,,Los Angeles Kings,3,1,W,,33,22,4,W 3,18604,2:25,
60,2018-02-17,,Toronto Maple Leafs,5,3,W,,34,22,4,W 4,18647,2:37,
61,2018-02-18,@,Columbus Blue Jackets,5,2,W,,35,22,4,W 5,19100,2:22,
62,2018-02-23,@,Carolina Hurricanes,6,1,W,,36,22,4,W 6,18180,2:27,
63,2018-02-24,@,Florida Panthers,5,6,L,,36,23,4,L 1,17581,2:34,
64,2018-02-27,,New Jersey Devils,2,3,L,,36,24,4,L 2,18581,2:35,
65,2018-03-01,@,Boston Bruins,4,8,L,,36,25,4,L 3,17565,2:49,
66,2018-03-03,,New York Islanders,3,2,W,OT,37,25,4,W 1,18661,2:31,
67,2018-03-05,,Calgary Flames,4,3,W,OT,38,25,4,W 2,18630,2:35,
68,2018-03-07,@,Philadelphia Flyers,5,2,W,,39,25,4,W 3,19624,2:28,
69,2018-03-10,@,Toronto Maple Leafs,2,5,L,,39,26,4,L 1,19504,2:41,
70,2018-03-11,,Dallas Stars,3,1,W,,40,26,4,W 1,18637,2:29,
71,2018-03-14,@,New York Rangers,3,4,L,OT,40,26,5,L 1,17379,2:30,
72,2018-03-15,@,Montreal Canadiens,5,3,W,,41,26,5,W 1,21302,2:27,
73,2018-03-20,@,New York Islanders,1,4,L,,41,27,5,L 1,10442,2:30,
74,2018-03-21,,Montreal Canadiens,5,3,W,,42,27,5,W 1,18574,2:37,
